주차장명,주소,자치구,법정동,법정동코드,면수,위도,경도,소스,공공근거,UPIS대분류,UPIS시설명,고시번호,옥내외,옥내자주,옥외자주,현행차고지,현행차고지거리m,운영시간,급지,이용효율
영등포여고 공영(구),영등포구 신길동 184-3,영등포구,신길동,11560132,98.0,37.5152065,126.9151402,공영,P법정공영,,,,혼합,31.0,40.0,,,,,
당산근린공원 공영(구),영등포구 당산동3가 385-0,영등포구,당산동3가,11560113,190.0,37.5255451,126.8957776,공영,P법정공영,,,,옥내,190.0,0.0,,,,,
대림운동장(구),영등포구 대림동 780-0,영등포구,대림동,11560133,192.0,37.4992383,126.8944447,공영,P법정공영,,,,옥내,192.0,0.0,대림운동장,269.0,,,
은평평화공원지하 공영주차장(구),은평구 녹번동 153-1,은평구,녹번동,11380102,66.0,37.6053521,126.92314,공영,P법정공영,,,,옥내,143.0,0.0,,,,,
신당동 공영주차장(구),중구 신당동 300-6,중구,신당동,11140162,75.0,37.5620653,127.0144555,공영,P법정공영,,,,혼합,74.0,1.0,,,,,
남산동 공영주차장(구),중구 남산동2가 30-4,중구,남산동2가,11140129,48.0,37.5592457,126.9855536,공영,P법정공영,,,,옥내,49.0,0.0,,,,,
삼성1문화센터 공영주차장(구),강남구 삼성동 161-2,강남구,삼성동,11680105,68.0,37.5143402,127.0626318,공영,P법정공영,,,,옥내,70.0,0.0,,,,,
논현초교 공영주차장(구),강남구 논현동 168-0,강남구,논현동,11680108,186.0,37.5081715,127.0262901,공영,P법정공영,,,,옥외,0.0,192.0,,,,,
마장축산물시장(건물) 공영주차장(구),성동구 마장동 525-1,성동구,마장동,11200105,107.0,37.5714775,127.039918,공영,P법정공영,,,,옥내,111.0,0.0,,,,,
볏골공원 지하공영주차장(구),강서구 화곡동 98-99,강서구,화곡동,11500103,219.0,37.5414741,126.8443908,공영,P법정공영,,,,옥내,237.0,0.0,,,,,
구의3동 공영주차장(구),광진구 구의동 219-15,광진구,구의동,11215103,159.0,37.5391104,127.0913776,공영,P법정공영,,,,옥내,160.0,0.0,,,,,
암사1동 주차장(구),강동구 암사동 59-2,강동구,암사동,11740107,114.0,37.5528187,127.1378865,공영,P법정공영,,,,옥내,112.0,0.0,,,,,
망원1-2 공영주차장(구),마포구 망원동 403-2,마포구,망원동,11440123,148.0,37.5555387,126.9058748,공영,P법정공영,,,,혼합,146.0,6.0,,,,,
청파동1마을공원공영주차장(구),용산구 청파동3가 118-102,용산구,청파동3가,11170111,105.0,37.5429441,126.9684063,공영,P법정공영,,,,옥내,105.0,0.0,,,,,
도곡로21길 7 공영주차장(구),강남구 역삼동 795-25,강남구,역삼동,11680101,75.0,37.4925021,127.0387937,공영,P법정공영,,,,옥내,78.0,0.0,,,,,
영희초교 공영주차장(구),강남구 일원동 617-0,강남구,일원동,11680114,185.0,37.4918658,127.0813335,공영,P법정공영,,,,옥내,374.0,0.0,,,,,
개봉1동 노외주차장(구),구로구 개봉동 134-8,구로구,개봉동,11530107,134.0,37.4999922,126.8510372,공영,P법정공영,,,,옥외,0.0,5.0,,,,,
수유일공원 공영주차장(구),강북구 수유동 605-407,강북구,수유동,11305103,90.0,37.6305853,127.0174205,공영,P법정공영,,,,혼합,89.0,2.0,,,,,
미아동 공영주차장(구),강북구 미아동 222-100,강북구,미아동,11305101,155.0,37.6285646,127.0223353,공영,P법정공영,,,,옥내,155.0,0.0,,,,,
번동 햇살 주차장(구),강북구 번동 148-380,강북구,번동,11305102,187.0,37.6250958,127.0334084,공영,P법정공영,,,,혼합,181.0,4.0,,,,,
가로공원 지하 주차장(구),강서구 화곡동 662-15,강서구,화곡동,11500103,512.0,37.5375697,126.8396021,공영,P법정공영,,,,옥내,501.0,0.0,,,,,
오류1동 텃골주차장(구),구로구 오류동 6-11,구로구,오류동,11530108,81.0,37.4954739,126.8391322,공영,P법정공영,,,,옥내,84.0,0.0,,,,,
중곡시장주차장(구),광진구 중곡동 221-6,광진구,중곡동,11215101,19.0,37.5638664,127.0819056,공영,P법정공영,,,,혼합,2.0,19.0,,,,,
구룡 공영주차장(구),금천구 독산동 964-0,금천구,독산동,11545102,22.0,37.4778789,126.9027274,공영,P법정공영,,,,옥내,22.0,0.0,,,,,
다목적 공영주차장(구),금천구 독산동 971-0,금천구,독산동,11545102,46.0,37.4763311,126.9018713,공영,P법정공영,,,,옥내,46.0,0.0,,,,,
마장축산물시장 서문(건물) 공영주차장(구),성동구 마장동 522-1,성동구,마장동,11200105,126.0,37.5704869,127.0383066,공영,P법정공영,,,,혼합,117.0,27.0,,,,,
다산아트 공영주차장(구),중구 신당동 432-612,중구,신당동,11140162,75.0,37.5516645,127.0044247,공영,P법정공영,,,,옥내,76.0,0.0,,,,,
영등포구청별관 공영주차장(구),영등포구 당산동3가 560-0,영등포구,당산동3가,11560113,61.0,37.5284763,126.8943645,공영,P법정공영,,,,옥외,0.0,50.0,,,,,
고척근린공원지하주차장(구),구로구 고척동 9-14,구로구,고척동,11530106,199.0,37.5055867,126.8522309,공영,P법정공영,,,,혼합,199.0,45.0,고척차고지,146.0,,,
독산4동 공영주차장(구),금천구 독산동 187-40,금천구,독산동,11545102,63.0,37.4694332,126.904505,공영,P법정공영,,,,옥내,63.0,0.0,,,,,
시흥4동 공영주차장(신흥초교지하)(구),금천구 시흥동 704-56,금천구,시흥동,11545103,124.0,37.4594173,126.9088708,공영,P법정공영,,,,옥내,124.0,0.0,,,,,
시흥 4동 (삼성)공영주차장(구),금천구 시흥동 171-1,금천구,시흥동,11545103,51.0,37.4545816,126.9090347,공영,P법정공영,,,,옥내,51.0,0.0,,,,,
도곡초 공영주차장(구),강남구 대치동 924-10,강남구,대치동,11680106,195.0,37.4990767,127.0546634,공영,P법정공영,,,,옥내,200.0,0.0,,,,,
신구초 공영주차장(구),강남구 신사동 550-11,강남구,신사동,11680107,184.0,37.522721,127.0238855,공영,P법정공영,,,,옥내,194.0,0.0,,,,,
송파나루공원 동호주차장(구),송파구 신천동 32-0,송파구,신천동,11710102,20.0,37.5115213,127.1051229,공영,P법정공영,,,,옥외,0.0,20.0,,,,,
