연번,차고지명,소속구,상세주소,lat,lon,지오코딩방법,좌표출처,검증_행정구,경고,차량대수,차고지_관리주체,차고지_유무료
1,가든파이브,송파구,송파구 충민로 66,37.4787379,127.1209135,addr,OSM,송파구,,10,민간,유료
2,가산디지털,금천구,금천구 가산디지털1로 225,37.4852055,126.8787585,addr,OSM,금천구,,12,민간,유료
3,개화산주차장,강서구,강서구 방화동 845,37.57682,126.81422,addr,OSM,강서구,,15,공단,무료
4,고척차고지,구로구,구로구 고척로45길 39,37.5055725,126.8538738,addr,OSM,구로구,,10,자치구,유료
5,구파발환승,은평구,은평구 진관동 66-30,37.6421169,126.9354305,addr,OSM,은평구,,10,공단,무료
6,남부여성발전센터,금천구,금천구 시흥동 산139-2,37.4633128,126.9060972,서울+gu+name,OSM,금천구,,12,기타공공,유료
7,대림운동장,영등포구,영등포구 대림3동 780,37.5001216,126.8972775,addr,OSM,영등포구,,10,자치구,유료
8,도봉산차고지,도봉구,도봉구 도봉동 341-1,37.6826056,127.0425405,addr,OSM,도봉구,,20,공단,무료
9,동대문구청,동대문구,동대문구 용두동 39-90,37.57616,127.03476,addr,OSM,동대문구,,10,자치구,무료
10,동작주차공원,동작구,동작구 동작동 326,37.5028911,126.9775288,addr,OSM,동작구,,10,자치구,유료
11,마들스타디움,노원구,노원구 덕릉로 450,37.6458448,127.0650564,addr,OSM,노원구,,20,자치구,유료
12,마포유수지,마포구,마포구 마포동 36-1,37.53672,126.94288,addr,OSM,마포구,,34,자치구,유료
13,면목홈플러스,중랑구,중랑구 면목5동 168-2,37.5826852,127.0798728,addr,OSM,중랑구,,45,자치구,무료
14,목동주차장,양천구,양천구 목동 914-6,37.53608,126.87585,addr,OSM,양천구,,18,자치구,유료
15,북서울꿈의숲,강북구,강북구 월계로 173,37.6215686,127.0385558,addr,OSM,강북구,,20,민간,유료
16,사당노외주차장,서초구,서초구 방배동 507-1,37.4798789,126.9939103,addr,OSM,서초구,,10,공단,무료
17,서남병원,양천구,양천구 신정이펜1로 20,37.511673,126.832741,addr,OSM,양천구,,10,기타공공,유료
18,서북병원,은평구,은평구 갈현로7길 49,37.604312,126.9048421,addr,OSM,은평구,,12,기타공공,유료
19,서울의료원,중랑구,중랑구 신내동 316,37.61182,127.09298,addr,OSM,중랑구,,13,기타공공,유료
20,세종로주차장,종로구,종로구 세종로 79-10,37.5757452,126.9766915,addr,OSM,종로구,,10,공단,무료
21,수락산주차장,노원구,노원구 상계동 1314,37.66727,127.07242,addr,OSM,노원구,,10,자치구,무료
22,수서주차장,강남구,강남구 수서동 735,37.48445,127.09838,addr,OSM,강남구,,23,공단,무료
23,시립은평병원,은평구,은평구 백년사로 90,37.5931717,126.9231022,서울+gu+name,OSM,은평구,,12,기타공공,유료
24,신길환승,영등포구,영등포구 영등포동1가 35,37.51509,126.91423,addr,OSM,영등포구,,10,자치구,유료
25,신림공영주차장,관악구,관악구 신림5동 1456-3,37.4873264,126.9234861,수동보정,구글 장소검색,,,10,자치구,유료
26,신방화차고지,강서구,강서구 마곡동 731-123,37.5667757,126.8177831,수동보정,구글(신방화역 환승주차장)-확인권장,,,10,공단,무료
27,신천유수지,송파구,송파구 신천동 14,37.5184928,127.1030779,addr,OSM,송파구,,10,공단,무료
28,씨드큐브,도봉구,도봉구 마들로13길 61,37.65454,127.049926,addr,OSM,도봉구,,30,기타공공,유료
29,아리랑차고지,성북구,성북구 돈암동 538-59,37.59742,127.01841,addr,OSM,성북구,,11,기타공공,유료
30,아현역차고지,마포구,마포구 신촌로28길29,37.556224,126.950684,수동보정,네이버역산+구글교차검증(23m),,,10,자치구,유료
31,양평교차고지,양천구,양천구 목동 900-8,37.53608,126.87585,addr,OSM,양천구,,19,공단,무료
32,어린이대공원,광진구,광진구 능동 18,37.544957,127.088782,addr,OSM,광진구,,10,공단,무료
33,영동대교북단,성동구,성동구 성수동2가 231-24,37.54048,127.05601,addr,OSM,성동구,,21,공단,무료
34,영등포구청,영등포구,영등포구 당산동3가 370-4,37.52616,126.89724,addr,OSM,영등포구,,10,공단,무료
35,용답주차장,성동구,성동구 용답동 223,37.5613328,127.0580146,addr,OSM,성동구,,10,자치구,유료
36,용산차고지,용산구,용산구 한강로2가 12-13,37.53142,126.9685,addr,OSM,용산구,,13,공단,무료
37,월드컵경기장,마포구,마포구 성산동 515-6,37.56775,126.90263,addr,OSM,마포구,,30,공단,무료
38,종묘지하주차장,종로구,종로구 훈정동 2,37.5753522,126.9938656,addr,OSM,종로구,,46,공단,무료
39,창동차고지,도봉구,도봉구 창동 1-9,37.64643,127.04326,addr,OSM,도봉구,,13,공단,무료
40,천왕환승,구로구,구로구 오류동 174-10,37.4910095,126.8377379,addr,OSM,구로구,,10,공단,무료
41,천호주차장,강동구,강동구 성내2동 57-7,37.5347582,127.1280422,addr,OSM,강동구,,20,공단,무료
42,한우리문화센터,서초구,서초구 서초동 380,37.48818,127.01751,addr,OSM,서초구,,10,자치구,무료
43,화랑대주차장,중랑구,중랑구 묵동 29,37.61083,127.08109,addr,OSM,중랑구,,16,공단,무료
44,훈련원주차장,중구,중구 을지로 227,37.5669291,127.0043893,addr,OSM,중구,,16,공단,무료
