gu,dong_canon,adm_nm,adm_cd2,dong_lat,dong_lon,area_km2,assign_rule,is_assigned,n_outdoor_in_dong,nearest_dist_m,cand_id,cand_name,capacity,capacity_available,source,cand_lat,cand_lon,dist_m,cand_beyond_cap
강남구,개포1동,서울특별시 강남구 개포1동,1168066000,37.47928389836681,127.0647095110715,1.7398649099888146,내부,True,2,184.24356996873598,452,구룡산제2호(구),127.0,,공영,37.4772631,127.0664771,273.53264091912246,False
강남구,개포2동,서울특별시 강남구 개포2동,1168067000,37.48647682482661,127.06763495353086,1.5853721815464126,내부,True,1,356.10435923174265,456,개포동공원 공영주차장(구),145.0,,공영,37.4894789,127.0662295,356.10435923174265,False
강남구,개포3동,서울특별시 강남구 개포3동,1168067500,37.495473569030175,127.07931657827795,1.033187900404402,내부,True,2,59.50368703091172,457,대청역 공영주차장(구),162.0,,공영,37.4949385,127.0793065,59.50368703091172,False
강남구,개포4동,서울특별시 강남구 개포4동,1168069000,37.47555236429388,127.05323653104564,1.5824017738312541,내부,True,2,599.1646807998625,367,논현로22길(구),86.0,,공영,37.4814964,127.0482184,795.5713873312263,False
강남구,논현1동,서울특별시 강남구 논현1동,1168052100,37.511909511986815,127.02649594797172,1.245220742434705,내부,True,1,416.04492807736676,8,논현초교 공영주차장(구),186.0,,공영,37.5081715,127.0262901,416.04492807736676,False
강남구,논현2동,서울특별시 강남구 논현2동,1168053100,37.515205803249245,127.03621825035552,1.4395213705175731,경계선상,True,0,1161.7744395062498,620,압구정고가1,19.0,17.0,시영,37.5235601,127.0283075,1161.7744395062498,False
강남구,대치1동,서울특별시 강남구 대치1동,1168060000,37.493391211151945,127.05896536298866,0.8072208658139524,1km대체,True,0,539.3600757188402,455,도곡로 421 공영주차장(구),25.0,,공영,37.4978175,127.0564648,539.3600757188402,False
강남구,대치2동,서울특별시 강남구 대치2동,1168061000,37.500575357643406,127.06641543894298,2.0591197116560696,내부,True,2,699.6353789060482,453,탄천 공영주차장(구),61.0,,공영,37.5086326,127.0683769,912.4801454805332,False
강남구,대치4동,서울특별시 강남구 대치4동,1168063000,37.50166055222825,127.0548989621501,0.7026442622149384,내부,True,1,449.09981590161925,455,도곡로 421 공영주차장(구),25.0,,공영,37.4978175,127.0564648,449.09981590161925,False
강남구,도곡1동,서울특별시 강남구 도곡1동,1168065500,37.48904527758745,127.04097580476127,1.0095532534419138,내부,True,1,432.4654273485102,369,언주초 공영주차장(구),203.0,,공영,37.4866514,127.0371128,432.4654273485102,False
