hour,idle_min_total,mean_idle_vehicles
0,67885.48541666621,3.0913244725257836
1,153950.95373333455,7.010517018822156
2,191864.98939999903,8.737021375227643
3,196265.79936666827,8.937422557680705
4,119737.10736666906,5.452509442926642
5,79037.08295000088,3.599138567850678
6,124602.33098333472,5.674058787947847
7,311268.1238500001,14.174322579690351
8,719719.3665333416,32.77410594414124
9,1173634.31443334,53.44418553885883
10,1806446.8836333216,82.2607870506977
11,2485859.809816675,113.19944489146971
12,2761206.618416667,125.73800630312691
13,3672540.374049989,167.23772195127455
14,2828003.9420833336,128.77977878339405
15,1988687.9573666707,90.55956090012161
16,1379245.8955499972,62.8071901434425
17,1179751.177283341,53.72273120598092
18,845333.4012333355,38.494235028840414
19,423242.80199999665,19.27335163934411
20,189138.33826666517,8.612856933818996
21,111167.39286666518,5.062267434729744
22,85402.87751666814,3.889019923345544
23,43121.645733333455,1.9636450698239278
